"Path","InEditorFolder","Namespace","Suggest","Status","UsesUnityEditor","MenuItemAttr","EditorWindow","MonoBehaviour","ScriptableObj"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\EnsureLeadsRuntimeSetup.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\FixTMPOverflow_Leads.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadCard_FloatActors.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadCardPrefabBakeDemoSkin.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsActors_BindToCards.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsActorsFloat_Hotfix.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsActorsFloat_Overlay.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsAttachActors_FloatLayer.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsAttachActorsFromArt.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarAudit.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarBindRuntime.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarCardDebugPaint.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarCardReadablePass.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarCardSanitizer.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarCleanup.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarConformToAudit.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarDemoSkin.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarDesignMode.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarDiagnose.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarEnsure.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarForceDarkSkin.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarVerifyAndRepair.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsBarVisualFix.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsPlaygroundWindow.cs","True","AQ.Editor.Leads","Editor","OK","True","True","True","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\LeadsRuntimeFirstAid.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\PushLeadsToRuntime.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Leads\WireRepoAndDB.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Requirements\FixTMPWrapping.cs","True","AQ.Editor.Requirements","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Requirements\RequirementsHUDToggle.cs","True","AQ.Editor.Requirements","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Requirements\RequirementsHUDWire.cs","True","AQ.Editor.Requirements","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\AQ\Scenes\LeadsBarWire.cs","True","AQ.Editor.Leads","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\AutoWireLeadsBar.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\BoardGridCleaner.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\BoardScaffoldCreator.cs","True","","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\BoardScaffoldHelpers.cs","True","","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\BoardTilePrefabCreator.cs","True","","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\FixLeadCardPrefabAndWire.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\FixTierSetPopupInScene.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\LeadCardPrefabCreator.cs","True","","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\LeadCardStyleFixer.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Editor\UI\RepairTierSetPopupInScene.cs","True","AQ.Editor.UI","Editor","OK","True","True","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Scripts\UI\Board\BoardTileView.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Scripts\UI\Board\DemoBoardPopulator.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Scripts\UI\Board\MergeBoardController.cs","False","","Runtime","OK","False","False","False","True","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\EditMode\Sanity_EditMode_Tests.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\EditMode\WK3_1_OverlayValidationTests.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\AddressablesSmokeTests.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\OverlayFlow_WK3_1_Tests.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\PlayBootSmoke.cs","False","AQ30.Tests.PlayMode","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\Save\Save_RoundTrip_PlayMode_Tests.cs","False","AQ.App.Save.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\BootstrapperSmokeTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\DialogueAutoSkipTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\DialogueSmokeTests_Modern.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\MergeBoardInteractionTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\MergeDropHookTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\MergeServiceSeamTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\Support\MergeInputAdapter.TestExtensions.cs","False","AQ.App","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\Support\TestGame.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\UITests\ThemeSmokeTests.cs","False","AQ.App.Tests","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayMode\WK3_2_VariantA_PlayProbe.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayModeNew\InfrastructureTest.cs","False","","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayModeNew\PlayBootSmoke.cs","False","AQ30.Tests.PlayMode","Runtime","OK","False","False","False","False","False"
"C:\Users\Steph\Dev\aq30-unity\Assets\Tests\PlayModeNew\WK3_4_ResolutionFlow_PlayModeTests.cs","False","","Runtime","OK","False","False","False","False","False"
